lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
89526126843_2025-10-20_07:30,41,2025-10-20,早朝,07:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Overview of University of Hawaii Sponsored Graduate Medical Education Programs (2025.10.20),89526126843,not_found,,,,Meeting ID 89526126843 の 2025-10-20 に該当録画なし,2026-03-26 10:13:07
84264269267_2025-10-20_14:30,42,2025-10-20,午後,14:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Evening Lecture @ Nanbu Medical Center (2025.10.20),84264269267,not_found,,,,Meeting ID 84264269267 の 2025-10-20 に該当録画なし,2026-03-26 10:13:07
89526126843_2025-10-21_07:30,43,2025-10-21,早朝,07:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Career Pathways for GI Board Certification and Training System in the U.S. (2025.10.21),89526126843,not_found,,,,Meeting ID 89526126843 の 2025-10-21 に該当録画なし,2026-03-26 10:13:07
84296892493_2025-10-21_13:00,44,2025-10-21,コア,13:00,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - GI Emergencies Lecture (2025.10.21),84296892493,not_found,,,,Meeting ID 84296892493 の 2025-10-21 に該当録画なし,2026-03-26 10:13:07
89526126843_2025-10-22_07:30,45,2025-10-22,早朝,07:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Ethnic Trends in Early Onset Colorectal Cancer (2025.10.22),89526126843,not_found,,,,Meeting ID 89526126843 の 2025-10-22 に該当録画なし,2026-03-26 10:13:07
84296892493_2025-10-22_13:00,46,2025-10-22,コア,13:00,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Inflammatory Bowel Disease (2025.10.22),84296892493,not_found,,,,Meeting ID 84296892493 の 2025-10-22 に該当録画なし,2026-03-26 10:13:07
89526126843_2025-10-23_07:30,47,2025-10-23,早朝,07:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Morning Report (2025.10.23),89526126843,not_found,,,,Meeting ID 89526126843 の 2025-10-23 に該当録画なし,2026-03-26 10:13:07
89526126843_2025-10-24_07:30,48,2025-10-24,早朝,07:30,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - Gastrointestinal Cancer Screening Practices in the U.S. (2025.10.24),89526126843,not_found,,,,Meeting ID 89526126843 の 2025-10-24 に該当録画なし,2026-03-26 10:13:07
84296892493_2025-10-24_13:00,49,2025-10-24,コア,13:00,Dr.Scotto K. Kuwada,Gastroenterology,[消化器内科] Dr.Scotto K. Kuwada - The Fatty Liver Disease Epidemic (2025.10.24),84296892493,not_found,,,,Meeting ID 84296892493 の 2025-10-24 に該当録画なし,2026-03-26 10:13:07
85933124309_2025-11-17_07:30,50,2025-11-17,早朝,07:30,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - Methodology and why Research is Important (2025.11.17),85933124309,not_found,,,,Meeting ID 85933124309 の 2025-11-17 に該当録画なし,2026-03-26 10:13:07
85933124309_2025-11-18_07:30,51,2025-11-18,早朝,07:30,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - Conducting medical Literature for Research (2025.11.18),85933124309,not_found,,,,Meeting ID 85933124309 の 2025-11-18 に該当録画なし,2026-03-26 10:13:07
85933124309_2025-11-19_07:30,52,2025-11-19,早朝,07:30,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - The Art of Writing Case Reports (2025.11.19),85933124309,not_found,,,,Meeting ID 85933124309 の 2025-11-19 に該当録画なし,2026-03-26 10:13:07
89607750128_2025-11-19_14:00,53,2025-11-19,午後,14:00,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - Lecture at Nanbu Medical Center (Pediatric Center) (2025.11.19),89607750128,not_found,,,,Meeting ID 89607750128 の 2025-11-19 に該当録画なし,2026-03-26 10:13:07
85933124309_2025-11-20_07:30,54,2025-11-20,早朝,07:30,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - Fever in Children (2025.11.20),85933124309,not_found,,,,Meeting ID 85933124309 の 2025-11-20 に該当録画なし,2026-03-26 10:13:07
85933124309_2025-11-21_07:30,55,2025-11-21,早朝,07:30,Dr.Ran Goldman,小児科,[小児科] Dr.Ran Goldman - Croup in Pediatrics (2025.11.21),85933124309,not_found,,,,Meeting ID 85933124309 の 2025-11-21 に該当録画なし,2026-03-26 10:13:07
83423759509_2025-11-25_07:30,56,2025-11-25,早朝,07:30,Dr.Junji Machi,外科,[外科] Dr.Junji Machi - Case Discussion: Jaundice (2025.11.25),83423759509,not_found,,,,Meeting ID 83423759509 の 2025-11-25 に該当録画なし,2026-03-26 10:13:07
83423759509_2025-11-26_07:30,57,2025-11-26,早朝,07:30,Dr.Junji Machi,外科,[外科] Dr.Junji Machi - Space Medicine (2025.11.26),83423759509,not_found,,,,Meeting ID 83423759509 の 2025-11-26 に該当録画なし,2026-03-26 10:13:07
84859793818_2025-11-26_14:00,58,2025-11-26,午後,14:00,Dr.Junji Machi,外科,[外科] Dr.Junji Machi - Lecture at Nanbu Medical Center (2025.11.26),84859793818,not_found,,,,Meeting ID 84859793818 の 2025-11-26 に該当録画なし,2026-03-26 10:13:07
83423759509_2025-11-27_07:30,59,2025-11-27,早朝,07:30,Dr.Junji Machi,外科,[外科] Dr.Junji Machi - Clinical Fellowship in the United States (2025.11.27),83423759509,not_found,,,,Meeting ID 83423759509 の 2025-11-27 に該当録画なし,2026-03-26 10:13:07
86074648985_2025-12-01_07:30,60,2025-12-01,早朝,07:30,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Pediatric Foreign Body Ingestions: Not Just a Coin (2025.12.01),86074648985,not_found,,,,Meeting ID 86074648985 の 2025-12-01 に該当録画なし,2026-03-26 10:13:07
86074648985_2025-12-02_07:30,62,2025-12-02,早朝,07:30,Dr.Jannet Lee Jayaram,小児科,"[小児科] Dr.Jannet Lee Jayaram - Fast, Effective, & Needle-Free: Intranasal Medications for Analgesia and Sedation (2025.12.02)",86074648985,not_found,,,,Meeting ID 86074648985 の 2025-12-02 に該当録画なし,2026-03-26 10:13:07
85185414561_2025-12-02_14:00,63,2025-12-02,午後,14:00,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Lecture at Nanbu Medical Center (2025.12.02),85185414561,not_found,,,,Meeting ID 85185414561 の 2025-12-02 に該当録画なし,2026-03-26 10:13:07
86074648985_2025-12-03_07:30,64,2025-12-03,早朝,07:30,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Beyond CT: Rapid MRI for children in the Emergency Department (2025.12.03),86074648985,not_found,,,,Meeting ID 86074648985 の 2025-12-03 に該当録画なし,2026-03-26 10:13:07
89161188688_2025-12-03_13:00,65,2025-12-03,コア,13:00,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Hidden Dangers: Rapid Recognition & Management of Pediatric Toxic Ingestions (2025.12.03),89161188688,not_found,,,,Meeting ID 89161188688 の 2025-12-03 に該当録画なし,2026-03-26 10:13:07
86074648985_2025-12-04_07:30,67,2025-12-04,早朝,07:30,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Enhancing the Care of Young Febrile Infants in Hawaii: A Quality Improvement Initiative (2025.12.04),86074648985,not_found,,,,Meeting ID 86074648985 の 2025-12-04 に該当録画なし,2026-03-26 10:13:07
89161188688_2025-12-04_13:00,68,2025-12-04,コア,13:00,Dr.Jannet Lee Jayaram,小児科,"[小児科] Dr.Jannet Lee Jayaram - Recognition of Child Maltreatment: Red Flags, Evaluation, & Injury Patterns (2025.12.04)",89161188688,not_found,,,,Meeting ID 89161188688 の 2025-12-04 に該当録画なし,2026-03-26 10:13:07
86074648985_2025-12-05_07:30,70,2025-12-05,早朝,07:30,Dr.Jannet Lee Jayaram,小児科,[小児科] Dr.Jannet Lee Jayaram - Promoting Reflection & Learning in Healthcare with Debriefing (2025.12.05),86074648985,not_found,,,,Meeting ID 86074648985 の 2025-12-05 に該当録画なし,2026-03-26 10:13:07
87568770779_2025-12-08_07:30,71,2025-12-08,早朝,07:30,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Welcoming remarks & Case conference (PGY2 resident) (2025.12.08),87568770779,not_found,,,,Meeting ID 87568770779 の 2025-12-08 に該当録画なし,2026-03-26 10:13:07
82168168105_2025-12-08_13:00,72,2025-12-08,コア,13:00,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Management of pelvic ring injuries in shock (2025.12.08),82168168105,not_found,,,,Meeting ID 82168168105 の 2025-12-08 に該当録画なし,2026-03-26 10:13:07
87568770779_2025-12-09_07:30,73,2025-12-09,早朝,07:30,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Polytrauma: the disease (2025.12.09),87568770779,not_found,,,,Meeting ID 87568770779 の 2025-12-09 に該当録画なし,2026-03-26 10:13:07
82168168105_2025-12-09_13:00,74,2025-12-09,コア,13:00,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Evidence for surgical stabilisation of rib fractures (2025.12.09),82168168105,not_found,,,,Meeting ID 82168168105 の 2025-12-09 に該当録画なし,2026-03-26 10:13:07
87568770779_2025-12-10_07:30,75,2025-12-10,早朝,07:30,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Case conference (PGY2 resident) (2025.12.10),87568770779,not_found,,,,Meeting ID 87568770779 の 2025-12-10 に該当録画なし,2026-03-26 10:13:07
82168168105_2025-12-10_13:00,76,2025-12-10,コア,13:00,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Master of Traumatology Program (2025.12.10),82168168105,not_found,,,,Meeting ID 82168168105 の 2025-12-10 に該当録画なし,2026-03-26 10:13:07
87568770779_2025-12-11_07:30,77,2025-12-11,早朝,07:30,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - M&M Conference (2025.12.11),87568770779,not_found,,,,Meeting ID 87568770779 の 2025-12-11 に該当録画なし,2026-03-26 10:13:07
82168168105_2025-12-11_13:00,78,2025-12-11,コア,13:00,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Post-traumatic multiple organ failure (2025.12.11),82168168105,not_found,,,,Meeting ID 82168168105 の 2025-12-11 に該当録画なし,2026-03-26 10:13:07
87568770779_2025-12-12_07:30,79,2025-12-12,早朝,07:30,Dr.Zolt Janos Balogh,整形外科,[整形外科] Dr.Zolt Janos Balogh - Trauma Care Verification Program & Farewell remarks (2025.12.12),87568770779,not_found,,,,Meeting ID 87568770779 の 2025-12-12 に該当録画なし,2026-03-26 10:13:07
82132825751_2026-02-16_17:00,80,2026-02-16,夕方,17:00,Dr. Taro Shimizu,総合診療科,[総合診療科] 志水 太郎 - Patient historyと患者協働 (2026.02.16),82132825751,downloaded,shared_screen_with_speaker_view,77.2,downloads\Dr. Taro Shimizu\2026-02-16\[総合診療科] 志水 太郎 - Patient historyと患者協働 (2026.02.16).mp4,突合成功: shared_screen_with_speaker_view (77.2 MB),2026-03-26 10:13:12
89731518147_2026-02-17_07:30,81,2026-02-17,早朝,07:30,Dr. Taro Shimizu,総合診療科,[総合診療科] 志水 太郎 - 症例検討（PGY1 竹下先生） (2026.02.17),89731518147,downloaded,shared_screen_with_speaker_view,75.9,downloads\Dr. Taro Shimizu\2026-02-17\[総合診療科] 志水 太郎 - 症例検討（PGY1 竹下先生） (2026.02.17).mp4,突合成功: shared_screen_with_speaker_view (75.9 MB),2026-03-26 10:13:18
86384462393_2026-02-17_13:00,82,2026-02-17,コア,13:00,Dr. Taro Shimizu,総合診療科,[総合診療科] 志水 太郎 - 診断戦略FormⅠ：DRED-Cの重要性 (2026.02.17),86384462393,downloaded,shared_screen_with_speaker_view,50.5,downloads\Dr. Taro Shimizu\2026-02-17\[総合診療科] 志水 太郎 - 診断戦略FormⅠ：DRED-Cの重要性 (2026.02.17).mp4,突合成功: shared_screen_with_speaker_view (50.5 MB),2026-03-26 10:13:22
89731518147_2026-02-18_07:30,83,2026-02-18,早朝,07:30,Dr. Taro Shimizu,総合診療科,[総合診療科] 志水 太郎 - 症例検討（PGY3 橋本先生） (2026.02.18),89731518147,downloaded,shared_screen_with_speaker_view,90.7,downloads\Dr. Taro Shimizu\2026-02-18\[総合診療科] 志水 太郎 - 症例検討（PGY3 橋本先生） (2026.02.18).mp4,突合成功: shared_screen_with_speaker_view (90.7 MB),2026-03-26 10:13:29
