lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
83905337205_2026-05-25_07:30,93,2026-05-25,早朝,07:30,Dr. Makoto Aoki,感染症内科,"[感染症内科] Dr. Makoto Aoki - Case Conference: Lower Abdominal Pain, Diarrhea, Vomiting, and Lower Extremity Weakness (2026.05.25)",83905337205,not_found,,,,Meeting ID 83905337205 の 2026-05-25 に該当録画なし,2026-05-29 16:05:02
88253731517_2026-05-25_13:00,94,2026-05-25,コア,13:00,Dr. Makoto Aoki,感染症内科,[感染症内科] Dr. Makoto Aoki - Principles of Infectious Disease Practice Part 1 (2026.05.25),88253731517,not_found,,,,Meeting ID 88253731517 の 2026-05-25 に該当録画なし,2026-05-29 16:05:02
83905337205_2026-05-26_07:30,95,2026-05-26,早朝,07:30,Dr. Makoto Aoki,感染症内科,[感染症内科] Dr. Makoto Aoki - Case Conference: Fever and Generalized Pain (2026.05.26),83905337205,not_found,,,,Meeting ID 83905337205 の 2026-05-26 に該当録画なし,2026-05-29 16:05:02
88253731517_2026-05-26_13:00,96,2026-05-26,コア,13:00,Dr. Makoto Aoki,感染症内科,[感染症内科] Dr. Makoto Aoki - Principles of Infectious Disease Practice Part 2 (2026.05.26),88253731517,not_found,,,,Meeting ID 88253731517 の 2026-05-26 に該当録画なし,2026-05-29 16:05:02
83905337205_2026-05-27_07:30,97,2026-05-27,早朝,07:30,Dr. Makoto Aoki,感染症内科,"[感染症内科] Dr. Makoto Aoki - Case Conference: Polydipsia, Polyuria, Dizziness, and Left Hand Pain (2026.05.27)",83905337205,not_found,,,,Meeting ID 83905337205 の 2026-05-27 に該当録画なし,2026-05-29 16:05:02
88253731517_2026-05-27_13:00,98,2026-05-27,コア,13:00,Dr. Makoto Aoki,感染症内科,[感染症内科] Dr. Makoto Aoki - Principles of Infectious Disease Practice Part 3 (2026.05.27),88253731517,not_found,,,,Meeting ID 88253731517 の 2026-05-27 に該当録画なし,2026-05-29 16:05:02
