講師名（英語）,専門科,所属,レクチャータイトル（英語）,配信用動画タイトル,パスコード,Vimeo動画のlink
Kazuhito Hirata,循環器内科,社会福祉法人友愛会 友愛医療センター,Physical examination workshop (Harvey) ③,[循環器] Kazuhito Hirata - Physical examination workshop (Harvey) ③ (2025.10.01),,
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,超高齢社会の神経疾患診療 ～老年神経学エッセンス～,[神経内科] Fukashi Udaka - 超高齢社会の神経疾患診療 ～老年神経学エッセンス～ (2025.10.08),146020,https://vimeo.com/1154205574
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,Clinical neuropathology through cases (1): Sudden death and hypoxic-ischemic encephalopathy,[神経内科] Fukashi Udaka - Clinical neuropathology through cases (1): Sudden death and hypoxic-ischemic encephalopathy (2025.10.08),604131,https://vimeo.com/1176801704
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,Clinical neuropathology through cases (2): Cerebrovascular disorders,[神経内科] Fukashi Udaka - Clinical neuropathology through cases (2): Cerebrovascular disorders (2025.10.09),146020,https://vimeo.com/1176801951
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,"Clinical neuropathology through cases (3): Tumors, paraneoplastic syndromes, and metabolic disorders","[神経内科] Fukashi Udaka - Clinical neuropathology through cases (3): Tumors, paraneoplastic syndromes, and metabolic disorders (2025.10.09)",604131,
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,"Clinical neuropathology through cases (4): Infection, inflammation, degeneration, and others","[神経内科] Fukashi Udaka - Clinical neuropathology through cases (4): Infection, inflammation, degeneration, and others (2025.10.10)",146020,https://vimeo.com/1176802219
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,Approach to care for elderly patients with dementia,[神経内科] Fukashi Udaka - Approach to care for elderly patients with dementia (2025.10.10),,
Fukashi Udaka,神経内科,一般財団法人住友病院 神経内科 特別顧問,Clinical neuropathology through cases: Imaging–pathology correlation seminar,[神経内科] Fukashi Udaka - Clinical neuropathology through cases: Imaging–pathology correlation seminar (2025.10.10),208814,
Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",Skills required for trauma surgeons,[外傷外科] Sho Furuta - Skills required for trauma surgeons (2025.10.14),280060,https://vimeo.com/1154205784
Sho Furuta,外傷外科,"Associate Trauma Medical Director, The Queen’s Medical Center",Topics on REBOA,[外傷外科] Sho Furuta - Topics on REBOA (2025.10.15),280060,https://vimeo.com/1154206013
