lecture_key,row_number,date,time_slot,start_time,instructor_name_en,specialty,video_title,meeting_id,status,recording_type,file_size_mb,local_file_path,message,processed_at
89250235315_2026-05-11_07:30,84,2026-05-11,早朝,07:30,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Atraumatic Subcutaneous Hemorrhage in a 40s Female (2026.05.11),89250235315,downloaded,shared_screen_with_speaker_view(CC),91.7,downloads\Dr. Neal A. Palafox\2026-05-11\[総合診療科] Dr. Neal A. Palafox - Atraumatic Subcutaneous Hemorrhage in a 40s Female (2026.05.11).mp4,突合成功: shared_screen_with_speaker_view(CC) (91.7 MB),2026-05-15 10:53:41
89883057150_2026-05-11_14:00,85,2026-05-11,午後,14:00,Dr. Neal A. Palafox,総合診療科,"[総合診療科] Dr. Neal A. Palafox - Nuclear Testing in the Pacific: Past, Present, and Future Health Effects (2026.05.11)",89883057150,not_found,,,,Meeting ID 89883057150 の 2026-05-11 に該当録画なし,2026-05-15 10:53:41
89250235315_2026-05-12_07:30,86,2026-05-12,早朝,07:30,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Being a Primary Care Physician-Scientist: Personal Balance and Research Impact (2026.05.12),89250235315,downloaded,shared_screen_with_speaker_view(CC),91.7,downloads\Dr. Neal A. Palafox\2026-05-12\[総合診療科] Dr. Neal A. Palafox - Being a Primary Care Physician-Scientist_ Personal Balance and Research Impact (2026.05.12).mp4,突合成功: shared_screen_with_speaker_view(CC) (91.7 MB),2026-05-15 10:53:45
85811523723_2026-05-12_13:00,87,2026-05-12,コア,13:00,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Healthcare Delivery in U.S.-Associated Pacific Islands: Background and Current Status (2026.05.12),85811523723,downloaded,shared_screen_with_speaker_view,67.2,downloads\Dr. Neal A. Palafox\2026-05-12\[総合診療科] Dr. Neal A. Palafox - Healthcare Delivery in U.S.-Associated Pacific Islands_ Background and Current Status (2026.05.12).mp4,突合成功: shared_screen_with_speaker_view (67.2 MB),2026-05-15 10:53:50
89250235315_2026-05-13_07:30,88,2026-05-13,早朝,07:30,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Defining Family Medicine and Primary Care in the U.S.: Relationships and Background (2026.05.13),89250235315,downloaded,shared_screen_with_speaker_view(CC),96.3,downloads\Dr. Neal A. Palafox\2026-05-13\[総合診療科] Dr. Neal A. Palafox - Defining Family Medicine and Primary Care in the U.S._ Relationships and Background (2026.05.13).mp4,突合成功: shared_screen_with_speaker_view(CC) (96.3 MB),2026-05-15 10:53:57
85811523723_2026-05-13_13:00,89,2026-05-13,コア,13:00,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Approach to Bruising and Bleeding Tendencies (2026.05.13),85811523723,downloaded,shared_screen_with_speaker_view,63.3,downloads\Dr. Neal A. Palafox\2026-05-13\[総合診療科] Dr. Neal A. Palafox - Approach to Bruising and Bleeding Tendencies (2026.05.13).mp4,突合成功: shared_screen_with_speaker_view (63.3 MB),2026-05-15 10:54:02
89250235315_2026-05-14_07:30,90,2026-05-14,早朝,07:30,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Ciguatera: Case Presentation and 2026 Updates (2026.05.14),89250235315,downloaded,shared_screen_with_speaker_view,86.2,downloads\Dr. Neal A. Palafox\2026-05-14\[総合診療科] Dr. Neal A. Palafox - Ciguatera_ Case Presentation and 2026 Updates (2026.05.14).mp4,突合成功: shared_screen_with_speaker_view (86.2 MB),2026-05-15 10:54:08
85811523723_2026-05-14_13:00,91,2026-05-14,コア,13:00,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Cervical Cancer in Japan and U.S.-Associated Pacific Islands: Implementation of the Latest Screening and Treatment Technologies (2026.05.14),85811523723,downloaded,shared_screen_with_speaker_view,74.0,downloads\Dr. Neal A. Palafox\2026-05-14\[総合診療科] Dr. Neal A. Palafox - Cervical Cancer in Japan and U.S.-Associated Pacific Islands_ Implementation of the Latest Screening and Treatment Technologies (2026.05.14).mp4,突合成功: shared_screen_with_speaker_view (74.0 MB),2026-05-15 10:54:14
89250235315_2026-05-15_07:30,92,2026-05-15,早朝,07:30,Dr. Neal A. Palafox,総合診療科,[総合診療科] Dr. Neal A. Palafox - Malama Honua Pacific Voyage: Culture and Health Through Pacific Traditions (2026.05.15),89250235315,downloaded,shared_screen_with_speaker_view,73.8,downloads\Dr. Neal A. Palafox\2026-05-15\[総合診療科] Dr. Neal A. Palafox - Malama Honua Pacific Voyage_ Culture and Health Through Pacific Traditions (2026.05.15).mp4,突合成功: shared_screen_with_speaker_view (73.8 MB),2026-05-15 10:54:19
